model,downloads,likes,parameters
google-bert/bert-base-uncased,47045539,1706,110106428
FacebookAI/xlm-roberta-large,29614753,299,561192082
distilbert/distilbert-base-uncased,20683337,482,66985530
FacebookAI/roberta-large,11709911,181,355412571
FacebookAI/roberta-base,9875819,373,124697947
FacebookAI/xlm-roberta-base,9640873,537,278885778
emilyalsentzer/Bio_ClinicalBERT,6122135,246,0
google-bert/bert-base-cased,5449822,241,108932934
microsoft/deberta-base,5053557,65,0
google-bert/bert-base-chinese,4525370,892,102882442
google-bert/bert-base-multilingual-cased,3964670,404,178566653
almanach/camembert-base,3457953,63,111246085
distilbert/distilroberta-base,2900728,129,82760793
microsoft/deberta-v3-base,2594269,210,0
albert/albert-base-v2,2173734,98,11842272
facebook/esm2_t6_8M_UR50D,2066383,14,7841868
google-bert/bert-large-uncased,1664047,100,336226108
google-bert/bert-base-multilingual-uncased,1445534,95,168055961
tohoku-nlp/bert-base-japanese,1182938,31,0
google-bert/bert-base-german-cased,939910,64,109705010
microsoft/deberta-v3-large,902101,163,0
nlpaueb/legal-bert-base-uncased,809813,142,0
distilbert/distilbert-base-multilingual-cased,796729,133,135445755
distilbert/distilbert-base-cased,553547,31,65812036
facebook/esm2_t12_35M_UR50D,544981,9,33995044
neuralmind/bert-base-portuguese-cased,492560,138,0
microsoft/mdeberta-v3-base,486264,134,0
microsoft/deberta-v3-xsmall,440740,37,0
hfl/chinese-roberta-wwm-ext,404781,256,0
naver/splade-cocondenser-ensembledistil,378455,35,0
vinai/phobert-base-v2,365129,17,0
cointegrated/rubert-tiny,281468,29,11913150
dccuchile/bert-base-spanish-wwm-uncased,269711,56,0
neulab/codebert-cpp,262593,10,0
microsoft/infoxlm-large,231299,10,0
neulab/codebert-python,220756,24,0
Rostlab/prot_bert,220520,86,0
yikuan8/Clinical-Longformer,208630,52,0
HooshvareLab/bert-base-parsbert-uncased,200307,27,0
vinai/phobert-base,196060,42,0
facebook/esm2_t30_150M_UR50D,162815,2,148798300
tohoku-nlp/bert-base-japanese-whole-word-masking,153362,55,0
vinai/bertweet-base,145849,29,0
microsoft/deberta-v2-xlarge,141027,21,0
neuralmind/bert-large-portuguese-cased,139160,55,0
tohoku-nlp/bert-large-japanese,137451,7,0
tohoku-nlp/bert-base-japanese-char,131620,8,0
facebook/esm2_t33_650M_UR50D,131080,23,652358616
microsoft/deberta-v3-small,128010,45,0
microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,124098,62,0
tohoku-nlp/bert-base-japanese-char-v2,122221,5,0
kykim/bert-kor-base,113202,21,0
asafaya/bert-base-arabic,99940,31,111241472
klue/bert-base,97511,38,111243522
google-bert/bert-large-cased,96399,28,334661958
google/muril-base-cased,96165,30,0
dbmdz/bert-base-german-cased,94580,16,110550910
naver/efficient-splade-VI-BT-large-doc,94508,15,0
microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,94411,174,0
ai4bharat/IndicBERTv2-MLM-only,93945,5,0
DeepChem/ChemBERTa-10M-MLM,92208,5,0
HooshvareLab/bert-fa-base-uncased,89432,13,0
dbmdz/bert-base-german-uncased,83860,20,110552448
ufal/robeczech-base,82027,10,126029341
dbmdz/bert-base-italian-xxl-cased,81968,22,111321448
dmis-lab/biobert-base-cased-v1.2,81151,39,0
gaunernst/bert-tiny-uncased,76841,0,0
neulab/codebert-java,68899,10,0
ALINEAR/albert-japanese-v2,65401,2,0
seyonec/PubChem10M_SMILES_BPE_450k,64074,6,0
aubmindlab/bert-base-arabert,63672,24,135851010
airesearch/wangchanberta-base-att-spm-uncased,59460,32,105861549
google-bert/bert-base-german-dbmdz-uncased,57570,2,110552448
medicalai/ClinicalBERT,57319,163,0
distilbert/distilbert-base-german-cased,53649,17,67431550
PlanTL-GOB-ES/RoBERTalex,53483,15,0
klue/roberta-base,53083,23,110652162
google-bert/bert-base-cased-finetuned-mrpc,51580,1,108311810
seyonec/ChemBERTa-zinc-base-v1,51319,36,0
naver/efficient-splade-VI-BT-large-query,48318,12,0
ku-nlp/deberta-v2-base-japanese,48148,26,137031168
julien-c/dummy-unknown,46052,0,0
google-bert/bert-base-german-dbmdz-cased,43041,0,0
dandelin/vilt-b32-mlm,43012,9,0
Rostlab/prot_bert_bfd,42005,14,0
naver/efficient-splade-V-large-doc,40938,4,0
neulab/codebert-javascript,39506,10,0
facebook/xlm-roberta-xl,38788,24,3482742274
microsoft/codebert-base-mlm,37255,39,0
entropy/roberta_zinc_480m,35893,3,0
GroNLP/bert-base-dutch-cased,35621,25,109169529
kuleshov-group/mdlm-owt,35159,7,169627250
facebook/esm2_t36_3B_UR50D,34084,12,0
hfl/chinese-bert-wwm-ext,31997,152,0
microsoft/mpnet-base,31007,38,132993790
ckiplab/bert-base-chinese,30786,22,0
julien-c/bert-xsmall-dummy,29843,0,0
indolem/indobert-base-uncased,29224,33,0
dccuchile/bert-base-spanish-wwm-cased,28799,50,0
facebook/esm2_t48_15B_UR50D,27796,14,0
