model,downloads,likes,parameters
microsoft/resnet-50,63624345,252,25610152
timm/resnet50.a1_in1k,12204691,18,25610152
google/vit-base-patch16-224,3962801,601,86567656
microsoft/beit-base-patch16-224-pt22k-ft22k,2401264,72,0
timm/efficientnet_b3.ra2_in1k,2268343,3,12320528
Falconsai/nsfw_image_detection,1458195,218,85800194
timm/mobilenetv3_large_100.ra_in1k,1205441,31,5507432
timm/resnet18.a1_in1k,834664,8,11699112
rizvandwiki/gender-classification,813750,24,85800194
timm/efficientnet_b0.ra_in1k,774873,3,5330564
WinKawaks/vit-small-patch16-224,638352,10,22050664
amunchet/rorshark-vit-base,633034,0,85800194
nateraw/vit-age-classifier,598573,91,85805577
WinKawaks/vit-tiny-patch16-224,581316,11,5717416
trpakov/vit-face-expression,549907,32,85804039
timm/vit_large_patch16_384.augreg_in21k_ft_in1k,415917,0,304715752
timm/resnet18.fb_swsl_ig1b_ft_in1k,365401,0,11699112
cledoux42/Ethnicity_Test_v003,332447,7,0
google/vit-base-patch16-384,312245,28,86859496
microsoft/swinv2-tiny-patch4-window16-256,230887,1,0
timm/nf_regnet_b1.ra2_in1k,221858,0,10223984
apple/mobilevit-small,216316,39,0
timm/tf_mobilenetv3_small_100.in1k,212978,0,2554968
timm/convnext_xxlarge.clip_laion2b_soup_ft_in1k,187972,2,846471016
timm/vit_base_patch16_224.augreg2_in21k_ft_in1k,187050,7,86567656
timm/tf_efficientnet_b1.ns_jft_in1k,169485,0,7856232
google/mobilenet_v1_0.75_192,161930,2,0
timm/vgg16.tv_in1k,157284,5,138357544
AdamCodd/vit-base-nsfw-detector,153855,10,86092034
timm/resnet50_gn.a1h_in1k,148556,0,25557032
timm/swin_base_patch4_window7_224.ms_in22k_ft_in1k,137886,3,88104364
timm/vit_base_patch16_384.augreg_in21k_ft_in1k,128876,0,86859496
timm/resnet101.a1h_in1k,124397,0,44654504
facebook/convnextv2-tiny-1k-224,123999,2,28635496
nateraw/food,120972,41,0
timm/mobilenetv2_100.ra_in1k,120186,0,3538984
Kaludi/food-category-classification-v2.0,119020,23,0
timm/tf_efficientnet_b0.ns_jft_in1k,115988,1,5330564
timm/vit_small_patch16_224.augreg_in21k_ft_in1k,105549,0,22050664
