model,created,updated,downloads,likes,parameters
facebook/fasttext-language-identification,2023-03-06 12:52:50+00:00,2023-06-09 12:39:43+00:00,54045423,153,0
distilbert/distilbert-base-uncased-finetuned-sst-2-english,2022-03-02 23:29:04+00:00,2023-12-19 16:29:37+00:00,7266700,538,66955010
cardiffnlp/twitter-roberta-base-sentiment-latest,2022-03-15 01:21:58+00:00,2023-05-28 05:45:10+00:00,5652113,480,0
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,2022-03-02 23:29:05+00:00,2024-01-21 15:17:58+00:00,3891353,283,82121221
avichr/heBERT_sentiment_analysis,2022-03-02 23:29:05+00:00,2021-12-31 16:08:22+00:00,3599725,23,0
papluca/xlm-roberta-base-language-detection,2022-03-02 23:29:05+00:00,2023-12-28 13:54:18+00:00,3389494,245,278059542
SamLowe/roberta-base-go_emotions,2022-09-15 13:04:21+00:00,2023-10-04 10:00:58+00:00,2984867,373,124667678
lxyuan/distilbert-base-multilingual-cased-sentiments-student,2023-05-05 16:22:55+00:00,2023-06-24 04:09:07+00:00,2455665,222,135326979
finiteautomata/bertweet-base-sentiment-analysis,2022-03-02 23:29:05+00:00,2023-02-17 02:17:31+00:00,2189392,124,0
cardiffnlp/twitter-roberta-base-sentiment,2022-03-02 23:29:05+00:00,2023-01-20 09:52:13+00:00,2156661,256,0
pysentimiento/robertuito-sentiment-analysis,2022-03-02 23:29:05+00:00,2024-07-08 18:21:10+00:00,1596501,68,108791173
Ashishkr/query_wellformedness_score,2022-03-02 23:29:05+00:00,2024-03-30 11:51:12+00:00,1579503,26,125237507
textattack/bert-base-uncased-yelp-polarity,2022-03-02 23:29:05+00:00,2021-05-20 07:49:07+00:00,1565600,2,0
cross-encoder/ms-marco-MiniLM-L-6-v2,2022-03-02 23:29:05+00:00,2021-08-05 08:39:38+00:00,1387868,53,0
ProsusAI/finbert,2022-03-02 23:29:04+00:00,2023-05-23 12:43:35+00:00,1238171,591,0
nlptown/bert-base-multilingual-uncased-sentiment,2022-03-02 23:29:05+00:00,2023-07-27 18:14:29+00:00,1223942,288,0
assemblyai/bert-large-uncased-sst2,2022-03-02 23:29:05+00:00,2021-06-14 22:04:39+00:00,1116303,0,0
michellejieli/emotion_text_classifier,2022-10-22 22:44:07+00:00,2023-05-03 00:39:47+00:00,1101119,66,0
martin-ha/toxic-comment-model,2022-03-02 23:29:05+00:00,2022-05-06 02:24:31+00:00,993774,49,0
cardiffnlp/twitter-roberta-base-irony,2022-03-02 23:29:05+00:00,2023-08-02 00:36:09+00:00,949951,26,0
microsoft/deberta-large-mnli,2022-03-02 23:29:05+00:00,2021-05-21 20:07:51+00:00,847373,15,0
BAAI/bge-reranker-v2-m3,2024-03-15 13:32:18+00:00,2024-06-24 14:08:45+00:00,809853,198,567755777
j-hartmann/emotion-english-distilroberta-base,2022-03-02 23:29:05+00:00,2023-01-02 13:03:10+00:00,644586,329,0
cross-encoder/ms-marco-MiniLM-L-4-v2,2022-03-02 23:29:05+00:00,2021-08-05 08:39:32+00:00,581704,3,0
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,2022-12-01 00:32:11+00:00,2024-03-24 06:10:17+00:00,561396,12,0
cardiffnlp/twitter-xlm-roberta-base-sentiment,2022-03-02 23:29:05+00:00,2023-07-19 20:41:38+00:00,541577,177,0
cardiffnlp/twitter-roberta-base-offensive,2022-03-02 23:29:05+00:00,2022-11-28 11:36:23+00:00,530888,22,0
BAAI/bge-reranker-base,2023-09-11 12:30:04+00:00,2024-06-24 14:10:03+00:00,517624,132,278044931
Hello-SimpleAI/chatgpt-detector-roberta,2023-01-18 16:38:53+00:00,2023-01-19 11:03:04+00:00,511188,50,0
textattack/bert-base-uncased-MNLI,2022-03-02 23:29:05+00:00,2021-05-20 07:31:58+00:00,503357,1,0
